OBJECTID,Shape,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,VisibilityFilter,Shape_Length,Shape_Area,Rank,CumArea
47642,Polygon Z,61496431,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000818,0,1,0
64904,Polygon Z,61495571,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.00084,0,2,0
65007,Polygon Z,61495167,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000828,0,3,0
73692,Polygon Z,61494971,11/15/02,High,<Null>,<Null>,0,99.1,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000915,0,4,0
91106,Polygon Z,61496621,11/15/02,High,<Null>,<Null>,0,68.6,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000842,0,5,0
107875,Polygon Z,61495485,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000612,0,6,0
116585,Polygon Z,62589766,11/27/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000716,0,7,0
116660,Polygon Z,61496275,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000648,0,8,0
117005,Polygon Z,61496105,11/15/02,High,<Null>,<Null>,0,71.6,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000782,0,9,0
30686,Polygon Z,{2BB84640-E9AC-438C-90B6-5482D02BF990},10/16/12,High,<Null>,<Null>,0.000734,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Date of Photography,Unspecified,0.001034,0,10,0.000734
107637,Polygon Z,{0702F96B-14A7-4BE0-AE2B-BFEE765308AD},10/16/12,High,<Null>,<Null>,0.000775,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Date of Photography,Unspecified,0.001407,0,11,0.001509
