OBJECTID,Shape,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,VisibilityFilter,Shape_Length,Shape_Area,Rank
4991,Polygon Z,61499223,11/15/02,High,<Null>,<Null>,0,86.9,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000414,0,1
22073,Polygon Z,61499709,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000803,0,2
22530,Polygon Z,61498705,11/15/02,High,<Null>,<Null>,0,86.6,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000835,0,3
22604,Polygon Z,61498743,11/15/02,High,<Null>,<Null>,0,89.9,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000531,0,4
31217,Polygon Z,61498739,11/15/02,High,<Null>,<Null>,0,72.5,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000628,0,5
39264,Polygon Z,61499499,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000787,0,6
39422,Polygon Z,61499075,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000646,0,7
48341,Polygon Z,61497931,11/15/02,High,<Null>,<Null>,0,80.5,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000798,0,8
56427,Polygon Z,61499457,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000748,0,9
56675,Polygon Z,61498959,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000912,0,10
57124,Polygon Z,61496869,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000967,0,11
65329,Polygon Z,61497311,11/15/02,High,<Null>,<Null>,0,56.4,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000871,0,12
73996,Polygon Z,61498981,11/15/02,High,<Null>,<Null>,0,81.7,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000818,0,13
74028,Polygon Z,61499163,11/15/02,High,<Null>,<Null>,0,87.8,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000618,0,14
82694,Polygon Z,61498963,11/15/02,High,<Null>,<Null>,0,83.8,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000616,0,15
99464,Polygon Z,61499751,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000771,0,16
99552,Polygon Z,61499307,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000847,0,17
99664,Polygon Z,61499023,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000639,0,18
99735,Polygon Z,61498293,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000644,0,19
99872,Polygon Z,61497971,11/15/02,High,<Null>,<Null>,0,63.7,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000856,0,20
99908,Polygon Z,61498713,11/15/02,High,<Null>,<Null>,0,86.6,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000547,0,21
107973,Polygon Z,61499297,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000787,0,22
108409,Polygon Z,61498913,11/15/02,High,<Null>,<Null>,0,89.9,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000828,0,23
117002,Polygon Z,61499265,11/15/02,High,<Null>,<Null>,0,86.6,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000599,0,24
134437,Polygon Z,61498067,11/15/02,High,<Null>,<Null>,0,71.3,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000828,0,25
48342,Polygon Z,{4C1D1DCD-FA68-4C51-B59E-B38E5F2CEADA},10/16/12,High,<Null>,<Null>,0.000301,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000723,0,26
5020,Polygon Z,{066A63D7-FDD9-4617-BA90-875CB15B246F},10/16/12,High,<Null>,<Null>,0.000638,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001112,0,27
65423,Polygon Z,{2F41F3FA-99B7-47A7-8FD5-E939850C7688},10/16/12,High,<Null>,<Null>,0.000701,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001066,0,28
13624,Polygon Z,{E814FEC3-A941-49EE-B632-48D5169A0FC5},10/16/12,High,<Null>,<Null>,0.000812,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001378,0,29
48099,Polygon Z,{D130804E-D09D-4EA8-BDA8-CC6C0EA8C3E5},10/16/12,High,<Null>,<Null>,0.000943,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001266,0,30
4611,Polygon Z,61499615,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001558,0,31
4765,Polygon Z,61498455,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001331,0,32
