OBJECTID,Shape,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,VisibilityFilter,Shape_Length,Shape_Area,Rank,CumArea
5022,Polygon Z,61495005,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000871,0,1,0
22636,Polygon Z,61495657,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000854,0,2,0
22638,Polygon Z,61495685,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Intermittent,Unspecified,0.000814,0,3,0
22802,Polygon Z,61496013,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000678,0,4,0
39624,Polygon Z,61495085,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000842,0,5,0
39791,Polygon Z,61496109,11/15/02,High,<Null>,<Null>,0,80.8,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000792,0,6,0
39883,Polygon Z,61495385,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000717,0,7,0
48041,Polygon Z,61495719,11/15/02,High,<Null>,<Null>,0,74.7,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000918,0,8,0
48102,Polygon Z,62589838,7/30/10 6:29,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000717,0,9,0
48886,Polygon Z,61496113,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Treatment,Unspecified,0.000612,0,10,0
57040,Polygon Z,61496065,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000715,0,11,0
74246,Polygon Z,61496361,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.00071,0,12,0
74402,Polygon Z,61496499,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000827,0,13,0
82842,Polygon Z,61495671,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000531,0,14,0
83173,Polygon Z,61495625,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000869,0,15,0
100244,Polygon Z,61496827,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000819,0,16,0
108450,Polygon Z,61496131,11/15/02,High,<Null>,<Null>,0,77.7,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000705,0,17,0
117387,Polygon Z,61495381,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000636,0,18,0
125674,Polygon Z,61495277,11/15/02,High,<Null>,<Null>,0,86.9,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000659,0,19,0
126113,Polygon Z,61495403,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000739,0,20,0
134538,Polygon Z,61495621,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000713,0,21,0
73888,Polygon Z,{9B9C411A-3222-4704-B707-85CAFA6F6A80},10/16/12,High,<Null>,<Null>,0.000975,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.00136,0,22,0.000975
5021,Polygon Z,61495313,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001126,0,23,0.001975
5068,Polygon Z,61495443,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000885,0,24,0.002975
5105,Polygon Z,61495459,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001006,0,25,0.003975
5172,Polygon Z,61495759,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.00101,0,26,0.004975
5205,Polygon Z,61495729,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000942,0,27,0.005975
5265,Polygon Z,61495797,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001418,0,28,0.006975
5471,Polygon Z,135655185,5/16/05 13:31,High,<Null>,<Null>,0.001,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.001596,0,29,0.007975
5699,Polygon Z,61496263,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001367,0,30,0.008975
13826,Polygon Z,61495449,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000972,0,31,0.009975
13868,Polygon Z,61495241,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.00109,0,32,0.010975
14194,Polygon Z,61496865,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001502,0,33,0.011975
14266,Polygon Z,61495653,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000989,0,34,0.012975
14489,Polygon Z,61496249,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001562,0,35,0.013975
14563,Polygon Z,61496279,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.002339,0,36,0.014975
22417,Polygon Z,61495575,11/15/02,High,<Null>,<Null>,0.001,68.6,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000924,0,37,0.015975
22418,Polygon Z,61495245,11/15/02,High,<Null>,<Null>,0.001,96,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.001119,0,38,0.016975
22491,Polygon Z,61495079,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001065,0,39,0.017975
22537,Polygon Z,61495049,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000942,0,40,0.018975
22635,Polygon Z,61495709,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Intermittent,Unspecified,0.000925,0,41,0.019975
22637,Polygon Z,61495745,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001002,0,42,0.020975
22671,Polygon Z,61495705,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000969,0,43,0.021975
22709,Polygon Z,61495675,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001516,0,44,0.022975
22803,Polygon Z,61495417,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001546,0,45,0.023975
23013,Polygon Z,135655217,5/16/05 13:31,High,<Null>,<Null>,0.001,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.001563,0,46,0.024975
30992,Polygon Z,61500231,11/15/02,High,<Null>,<Null>,0.001,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.000917,0,47,0.025975
31064,Polygon Z,61495493,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000951,0,48,0.026975
31065,Polygon Z,61495169,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001838,0,49,0.027975
31066,Polygon Z,61495003,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001715,0,50,0.028975
31459,Polygon Z,61495371,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001673,0,51,0.029975
31530,Polygon Z,61496661,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001048,0,52,0.030975
39622,Polygon Z,61495483,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001169,0,53,0.031975
39653,Polygon Z,61495035,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.00112,0,54,0.032975
39682,Polygon Z,61495185,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001364,0,55,0.033975
39684,Polygon Z,61495011,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001132,0,56,0.034975
39792,Polygon Z,61495435,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001328,0,57,0.035975
39793,Polygon Z,61495199,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001675,0,58,0.036975
39855,Polygon Z,61495589,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001063,0,59,0.037975
40071,Polygon Z,135655193,5/16/05 13:31,High,<Null>,<Null>,0.001,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.001605,0,60,0.038975
40237,Polygon Z,61496143,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001733,0,61,0.039975
48417,Polygon Z,61496173,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001436,0,62,0.040975
48610,Polygon Z,61496931,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001118,0,63,0.041975
48612,Polygon Z,61495881,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001146,0,64,0.042975
48705,Polygon Z,61496397,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001806,0,65,0.043975
48849,Polygon Z,61496643,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001238,0,66,0.044975
48850,Polygon Z,61496135,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001344,0,67,0.045975
56679,Polygon Z,61495021,11/15/02,High,<Null>,<Null>,0.001,99.1,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.001082,0,68,0.046975
57086,Polygon Z,61496133,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001311,0,69,0.047975
57161,Polygon Z,61495369,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001476,0,70,0.048975
57286,Polygon Z,61500371,11/15/02,High,<Null>,<Null>,0.001,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.00136,0,71,0.049975
57288,Polygon Z,135655153,5/16/05 13:31,High,<Null>,<Null>,0.001,<Null>,<Null>,SwampMarsh,Swamp/Marsh,Unspecified,0.001546,0,72,0.050975
57331,Polygon Z,61495771,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001049,0,73,0.051975
57381,Polygon Z,61496625,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001425,0,74,0.052975
57439,Polygon Z,61496581,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.00136,0,75,0.053975
65456,Polygon Z,61495127,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001309,0,76,0.054975
65576,Polygon Z,61495689,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000945,0,77,0.055975
65753,Polygon Z,61495293,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001611,0,78,0.056975
65947,Polygon Z,61496913,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001259,0,79,0.057975
66102,Polygon Z,61496163,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001445,0,80,0.058975
74061,Polygon Z,61495133,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001793,0,81,0.059975
74289,Polygon Z,61495437,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001296,0,82,0.060975
74473,Polygon Z,61496873,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001233,0,83,0.061975
82772,Polygon Z,61495243,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001407,0,84,0.062975
82843,Polygon Z,61495723,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000923,0,85,0.063975
82844,Polygon Z,61495733,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000904,0,86,0.064975
82845,Polygon Z,61495619,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000979,0,87,0.065975
82954,Polygon Z,61496049,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001356,0,88,0.066975
83170,Polygon Z,61496743,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001569,0,89,0.067975
83439,Polygon Z,61496291,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001871,0,90,0.068975
91232,Polygon Z,61495189,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001221,0,91,0.069975
91260,Polygon Z,61495197,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001199,0,92,0.070975
91408,Polygon Z,61495683,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Intermittent,Unspecified,0.000913,0,93,0.071975
91594,Polygon Z,61495295,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001129,0,94,0.072975
91998,Polygon Z,61496229,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001367,0,95,0.073975
99699,Polygon Z,61495097,11/15/02,High,<Null>,<Null>,0.001,105.2,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Unspecified,0.000964,0,96,0.074975
99878,Polygon Z,61495343,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001109,0,97,0.075975
100042,Polygon Z,61494983,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001438,0,98,0.076975
100111,Polygon Z,61495649,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001457,0,99,0.077975
100173,Polygon Z,61495351,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001592,0,100,0.078975
